Country Name,Country Code,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
St. Lucia,LCA,1660222222,1749185185,1807629630,1868555556,1998518519,2060962963,2095370370,1499296296,1867185185,2342703704,2430148148
Latin America & Caribbean,LCN,6.36436E+12,6.48537E+12,5.42063E+12,5.28577E+12,5.86926E+12,5.74319E+12,5.65931E+12,4.80551E+12,5.58105E+12,6.34487E+12,7.10014E+12
Least developed countries: UN classification,LDC,8.99012E+11,9.66978E+11,9.28551E+11,9.44492E+11,1.0337E+12,1.10088E+12,1.16186E+12,1.17275E+12,1.28024E+12,1.43639E+12,1.51699E+12
Low income,LIC,3.96288E+11,4.24195E+11,4.17757E+11,3.85207E+11,4.03454E+11,4.20211E+11,4.47115E+11,4.42702E+11,4.74823E+11,5.472E+11,6.63529E+11
Liechtenstein,LIE,6391708311,6657526980,6268515276,6237302034,6474308718,6692620692,6436467007,6405870210,7710380086,7361504432,
Sri Lanka,LKA,77000578167,82528535714,85140955389,88012282206,94376237797,94493871201,89014978344,84304298771,88609324902,74144870023,84356863744
Lower middle income,LMC,4.71734E+12,5.09559E+12,5.08967E+12,5.30401E+12,5.74138E+12,5.99412E+12,6.29871E+12,6.10231E+12,6.91186E+12,7.3714E+12,7.43951E+12
Low & middle income,LMY,2.49564E+13,2.6113E+13,2.53367E+13,2.55971E+13,2.79874E+13,2.97916E+13,3.04954E+13,2.95214E+13,3.47781E+13,3.64652E+13,3.75338E+13
Lesotho,LSO,2367112932,2441063054,2359686725,2114426452,2306741672,2556247292,2390702296,2053699870,2412130057,2354683089,2117962451
Late-demographic dividend,LTE,1.90515E+13,1.97881E+13,1.85653E+13,1.86055E+13,2.06477E+13,2.26413E+13,2.30702E+13,2.25532E+13,2.69104E+13,2.80794E+13,2.83485E+13
Lithuania,LTU,46303660422,48306546657,41540954817,42970749245,47756764508,54261795149,55122066226,57412038533,67037321009,71033884500,79789877416
Luxembourg,LUX,65203276467,68804811898,60071584216,62216885436,65712180343,71000359760,69890505324,73699366700,85584105994,81641807866,85755006124
Latvia,LVA,29152128168,30277203767,26344565877,27117105060,29391059767,33247935477,33099503951,33379927435,38185125733,38018905782,42247850065
"Macao SAR, China",MAC,51536595089,54902831794,45048190598,45070808689,50383871121,55190661340,55082293844,25343525936,30969334705,24999113476,45803067940
St. Martin (French part),MAF,,772921958.5,,,,,652206037.1,,649206262.8,,
Morocco,MAR,1.15739E+11,1.19131E+11,1.10414E+11,1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21354E+11,1.42022E+11,1.30952E+11,1.44417E+11
Monaco,MCO,6555591710,7070017324,6264756528,6471290794,6430254653,7184333936,7383496254,6730736283,8623242743,8800430486,9995350547
Moldova,MDA,9496717876,9402090138,7797667197,7980917076,9514404016,11252353421,11736797055,11530746234,13691869264,14510490660,16539436547
Madagascar,MDG,12423555455,12522957399,11323020701,11848613858,13176313594,13760033282,14104664679,13051441204,14554754117,15134700203,15790113247
Maldives,MDV,3295009238,3697353039,4129505319,4409942624,4816426257,5404344163,5726094799,3712604583,5252457370,6177118114,6590894302
Middle East & North Africa,MEA,3.61079E+12,3.63093E+12,3.20294E+12,3.2362E+12,3.37598E+12,3.60866E+12,3.59845E+12,3.20794E+12,3.80787E+12,4.47571E+12,4.32057E+12
Mexico,MEX,1.32744E+12,1.36451E+12,1.21329E+12,1.11223E+12,1.19072E+12,1.2563E+12,1.30411E+12,1.12106E+12,1.31657E+12,1.46431E+12,1.78911E+12
Marshall Islands,MHL,186400000,186000000,183700000,201800000,213700000,220000000,232900000,241800000,258900000,253400000,259300000
Middle income,MIC,2.45608E+13,2.56899E+13,2.49203E+13,2.52117E+13,2.7583E+13,2.937E+13,3.00475E+13,2.90784E+13,3.43011E+13,3.59177E+13,3.68781E+13
North Macedonia,MKD,10817702346,11362265253,10064519963,10672467073,11307067070,12683068114,12606338449,12361036914,14000283827,13932436550,15763621848
Mali,MLI,13242690786,14364937124,13104764378,14026048336,15365713048,17070867590,17280250810,17465392764,19309463508,18780322204,20661794596
Malta,MLT,10796782638,11888032872,11340795042,12025782834,14161366724,16153779511,16337793531,16385919536,19718565605,19209979975,22328640242
Myanmar,MMR,60269732855,65531374200,59607290408,63298361996,66053040483,67860515990,75065106228,79006113643,66345291160,62253049892,66757619000
Middle East & North Africa (excluding high income),MNA,1.65162E+12,1.62789E+12,1.46156E+12,1.4978E+12,1.49923E+12,1.49067E+12,1.48018E+12,1.32887E+12,1.55275E+12,1.74192E+12,1.67117E+12
Montenegro,MNE,4465772400,4593853291,4054730078,4376930578,4856599481,5506942238,5542054181,4769996866,5861427505,6229801581,7530593375
Mongolia,MNG,12582122604,12226514668,11619892591,11181350649,11480847741,13178094720,14206359018,13312981429,15286441738,17146471714,20325121394
Northern Mariana Islands,MNP,772000000,832000000,910000000,1230000000,1560000000,1301000000,1179000000,866000000,914000000,1096000000,
Mozambique,MOZ,17198073057,17978246586,16208985770,12069051237,13264640646,15017358953,15512759047,14235420174,16168055475,18883528581,20954220984
Mauritania,MRT,7223071097,6592537782,6166863897,6398747592,6800135898,7473550557,7894764886,8260752385,9222536364,9557966698,10651709411
Mauritius,MUS,12292974141,13074129952,12007291046,12594155464,13713506131,14735695931,14436346980,11408106446,11484348858,12927979286,14644524819
Malawi,MWI,8031571928,8801326169,9219474379,7909868618,8943543794,9879231592,11051865580,11769313598,12378129751,12429060151,12712150082
Malaysia,MYS,3.23276E+11,3.38066E+11,3.01355E+11,3.01256E+11,3.19109E+11,3.58789E+11,3.65178E+11,3.37456E+11,3.73785E+11,4.07606E+11,3.99705E+11
North America,NAC,1.87337E+13,1.94203E+13,1.98582E+13,2.03398E+13,2.12685E+13,2.23891E+13,2.32911E+13,2.30167E+13,2.56959E+13,2.81762E+13,2.98713E+13
Namibia,NAM,12043307277,12435430970,11335161084,10722018732,12895153371,13682019076,12541928303,10583748542,12402486184,12567271005,12351025067
New Caledonia,NCL,10151382933,10635035595,8738203074,8724568955,9174048682,9896402284,9475655325,9454629468,10071349664,9623318718,
Niger,NER,10224897438,10862943544,9683867926,10398861982,11185104252,12837307497,12889555561,13744653103,14915002436,15433852712,16819170421
Nigeria,NGA,5.20117E+11,5.74184E+11,4.93027E+11,4.04649E+11,3.75746E+11,4.21739E+11,4.74517E+11,4.32199E+11,4.40834E+11,4.77403E+11,3.63846E+11
Nicaragua,NIC,10982954744,11880433903,12756685550,13286101094,13785924216,13025234821,12699028890,12681569254,14144060853,15649897117,17829218219
Netherlands,NLD,8.83952E+11,9.01557E+11,7.75744E+11,7.97164E+11,8.48234E+11,9.29734E+11,9.28903E+11,9.32561E+11,1.05447E+12,1.04654E+12,1.15436E+12
Norway,NOR,5.26014E+11,5.01736E+11,3.8816E+11,3.70957E+11,4.01745E+11,4.39789E+11,4.08743E+11,3.67633E+11,5.03368E+11,5.93727E+11,4.85311E+11
Nepal,NPL,22162204925,22731612922,24360801287,24524109484,28971588940,33111525237,34186180699,33433659301,36924841394,41182939601,40908073367
Nauru,NRU,94385014.94,98752257.05,84383388.64,97276023.08,108862278.5,130937589.8,124871111.4,124530027.3,175513984.5,156803087.3,154170289.3
New Zealand,NZL,1.9091E+11,2.01338E+11,1.78104E+11,1.88898E+11,2.06567E+11,2.11847E+11,2.12847E+11,2.12698E+11,2.53644E+11,2.46734E+11,2.52176E+11
OECD members,OED,4.94646E+13,5.04994E+13,4.76365E+13,4.85598E+13,5.0712E+13,5.36318E+13,5.41795E+13,5.30008E+13,5.91696E+13,6.06913E+13,6.47466E+13
Oman,OMN,89936020806,92699089727,78710793238,75128738622,80856697009,91505851756,88060858257,75909492848,87323797139,1.11944E+11,1.08811E+11
Other small states,OSS,1.64528E+11,1.69821E+11,1.53633E+11,1.61593E+11,1.80002E+11,1.97103E+11,1.98507E+11,1.81482E+11,2.12298E+11,2.28426E+11,2.41086E+11
Pakistan,PAK,2.58657E+11,2.7139E+11,2.99964E+11,3.1363E+11,3.39206E+11,3.56128E+11,3.20909E+11,3.00426E+11,3.48517E+11,3.7489E+11,3.37912E+11
Panama,PAN,46949496500,51427104900,55767806100,59760858700,64327688800,67316471200,69778991200,57059846500,67396392500,76276116700,83318176900
Peru,PER,2.01176E+11,2.00786E+11,1.89803E+11,1.91898E+11,2.11008E+11,2.22597E+11,2.28346E+11,2.0141E+11,2.26354E+11,2.46489E+11,2.67603E+11
Philippines,PHL,2.83903E+11,2.97484E+11,3.06446E+11,3.18627E+11,3.28481E+11,3.46842E+11,3.76823E+11,3.61751E+11,3.94087E+11,4.04353E+11,4.37146E+11
Palau,PLW,225345718.8,243156484.4,278824781.3,298323500,285600000,288546281.3,281941562.5,258990843.8,235752906.3,255591062.5,281849062.5
Papua New Guinea,PNG,21261338065,23210823987,21723437010,20758876953,22742699138,24109780708,24750626041,23848447850,26109413522,31647277767,30729242919
Poland,POL,5.1818E+11,5.42134E+11,4.80054E+11,4.7326E+11,5.28357E+11,5.94617E+11,6.02684E+11,6.05914E+11,6.8917E+11,6.95607E+11,8.09201E+11
Pre-demographic dividend,PRE,1.45062E+12,1.53756E+12,1.30739E+12,1.16456E+12,1.21607E+12,1.35525E+12,1.42893E+12,1.31136E+12,1.43936E+12,1.64753E+12,1.56694E+12
Puerto Rico,PRI,1.0245E+11,1.02446E+11,1.03376E+11,1.04337E+11,1.03446E+11,1.00958E+11,1.05126E+11,1.03131E+11,1.06427E+11,1.13567E+11,1.17902E+11
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,
Portugal,PRT,2.26677E+11,2.30079E+11,1.99039E+11,2.06305E+11,2.20863E+11,2.42093E+11,2.40116E+11,2.29619E+11,2.56056E+11,2.56899E+11,2.89114E+11
Paraguay,PRY,38501122141,40377929296,36211447840,36089700223,38997129474,40225448341,37925338329,35432178068,39950899939,41952910858,42956263544
West Bank and Gaza,PSE,13515500000,13989700000,13972400000,15405400000,16128000000,16276600000,17133500000,15531700000,18109000000,19165500000,17420800000
Pacific island small states,PSS,8547552422,9288783801,9074649392,9525520080,10283468244,10792829234,10712120523,9516738321,9552334875,10339409999,11150695760
Post-demographic dividend,PST,4.63693E+13,4.73114E+13,4.47583E+13,4.57842E+13,4.77557E+13,5.05981E+13,5.11349E+13,5.01408E+13,5.58289E+13,5.70668E+13,6.04852E+13
French Polynesia,PYF,6031827123,6151996561,5325846362,5497036477,5833352693,6135116253,6022276196,5792545871,6150640646,5814661209,
Qatar,QAT,1.98728E+11,2.06225E+11,1.6174E+11,1.51732E+11,1.61099E+11,1.83335E+11,1.76371E+11,1.44411E+11,1.79732E+11,2.35709E+11,2.13003E+11
Romania,ROU,1.89799E+11,1.99722E+11,1.77885E+11,1.85291E+11,2.10147E+11,2.43469E+11,2.51677E+11,2.52034E+11,2.86578E+11,2.96354E+11,3.50776E+11
Russian Federation,RUS,2.29247E+12,2.05924E+12,1.36348E+12,1.27679E+12,1.5742E+12,1.65733E+12,1.69312E+12,1.49308E+12,1.84339E+12,2.26603E+12,2.02142E+12
Rwanda,RWA,7819963716,8238966064,8543759678,8695272301,9252834336,9637904655,10349300380,10174387374,11069280650,13316160895,14097768472
South Asia,SAS,2.38993E+12,2.61495E+12,2.73365E+12,3.01107E+12,3.43392E+12,3.53407E+12,3.65821E+12,3.49312E+12,4.07987E+12,4.32739E+12,4.49499E+12
Saudi Arabia,SAU,7.53865E+11,7.66606E+11,6.69484E+11,6.66E+11,7.14995E+11,8.46584E+11,8.38565E+11,7.34271E+11,8.74156E+11,1.10857E+12,1.06758E+12
Sudan,SDN,43024018082,49516748618,51726758677,42630376000,41283617976,32333780383,32338079165,27034593750,34229513775,51666875363,1.09266E+11
Senegal,SEN,18918667725,19797253440,17774766696,19040312333,20996562944,23116701556,23403995992,24530513038,27520784130,27619479060,30848333084
Singapore,SGP,3.07576E+11,3.14864E+11,3.07999E+11,3.19054E+11,3.43257E+11,3.76893E+11,3.76902E+11,3.49488E+11,4.34112E+11,4.98475E+11,5.01428E+11
Solomon Islands,SLB,1285911586,1335571421,1307909888,1379490304,1469789119,1615478393,1619155017,1536145814,1522794913,1566360686,1633319401
Sierra Leone,SLE,7697098118,7845456215,6651626734,6042615860,5818480352,6390514689,6523577590,6688594758,7165214368,7119137322,6411869546
El Salvador,SLV,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24921190000,29043140000,31988920000,34015620000
San Marino,SMR,1678741475,1673911426,1419401071,1468343140,1528620346,1655353653,1616232125,1544714493,1855396000,1831700577,
Somalia,SOM,5062881613,5728399711,6152149080,6613743090,7621501720,7873440838,8655023960,8628393720,9483997404,10202767270,10968517090
Serbia,SRB,50455529604,49114321280,41297410635,42225495910,45972834714,52787520249,53864693665,55874017669,66159884073,66797564758,81342660752
Sub-Saharan Africa (excluding high income),SSA,1.798E+12,1.87474E+12,1.66861E+12,1.52174E+12,1.65917E+12,1.78102E+12,1.83434E+12,1.72181E+12,1.93357E+12,2.07334E+12,2.04244E+12
South Sudan,SSD,18426469017,13962212847,11997800760,,,,,,,,
Sub-Saharan Africa,SSF,1.79933E+12,1.87612E+12,1.67004E+12,1.5233E+12,1.66085E+12,1.7828E+12,1.8362E+12,1.72319E+12,1.93506E+12,2.0754E+12,2.04458E+12
Small states,SST,2.06145E+11,2.13239E+11,1.97793E+11,2.05052E+11,2.25723E+11,2.44623E+11,2.47266E+11,2.22762E+11,2.58942E+11,2.87506E+11,3.05547E+11
Sao Tome and Principe,STP,267041747.6,293119143.2,259999643,292267272.2,322002845.2,383717327.8,412976082.6,471229484.6,524402455.5,540809499.2,678976264.8
Suriname,SUR,5145757576,5240606061,5126237646,3317421648,3591679431,3996198867,4016040575,2911807496,3107923198,3791603200,3455146281
Slovak Republic,SVK,99134277850,1.01713E+11,89178548717,90347173229,95978130735,1.06612E+11,1.05843E+11,1.07733E+11,1.20592E+11,1.15929E+11,1.32908E+11
Slovenia,SVN,47867056859,49514466380,42709468275,44290685824,48153200135,53689067640,53909922736,53384760135,61529280461,59927702746,69148468417
Sweden,SWE,5.84128E+11,5.7773E+11,5.01698E+11,5.14218E+11,5.36084E+11,5.51312E+11,5.32169E+11,5.45148E+11,6.37187E+11,5.79896E+11,5.8496E+11
Eswatini,SWZ,4418333192,4250545461,3878174404,3705918654,4437538381,4659474400,4594818143,4105756863,4737671576,4695372785,4442875788
Sint Maarten (Dutch part),SXM,1022905028,1361811508,1417888715,1427017207,1353212123,1259200447,1407880447,1236428101,1353071061,1537088715,1627776949
Seychelles,SYC,1333160407,1387577870,1432403352,1568513348,1675370641,1784313927,1868690097,1382551752,1487173795,2057968520,2141450171
Syrian Arab Republic,SYR,21361254635,21502061466,16466863117,12597854877,16369843352,21497782868,22583045060,12047752036,14353205678,23622827080,
Turks and Caicos Islands,TCA,754238000,841070000,942070000,1032452000,1028941663,1128749005,1177285212,774653669.3,1045782454,1228794383,1402054391
Chad,TCD,12953534866,13940767219,10950392257,10097778098,10000394381,11239167898,11314951092,10715396042,11779981333,12396807588,13149325362
East Asia & Pacific (IDA & IBRD countries),TEA,1.18601E+13,1.27898E+13,1.3313E+13,1.36044E+13,1.487E+13,1.66285E+13,1.72016E+13,1.74747E+13,2.08241E+13,2.10988E+13,2.11367E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.9205E+12,4.64963E+12,3.63253E+12,3.49088E+12,3.92272E+12,4.09155E+12,4.17589E+12,3.91685E+12,4.64291E+12,5.23781E+12,5.4979E+12
Togo,TGO,6021732977,6393318262,5755461035,6071170959,6387422518,7029300383,6992700101,7400284168,8342243646,8169476149,9171261838
Thailand,THA,4.20334E+11,4.07339E+11,4.01296E+11,4.13366E+11,4.56357E+11,5.06754E+11,5.43977E+11,5.00462E+11,5.06256E+11,4.95645E+11,5.14969E+11
Tajikistan,TJK,8448411318,9112605459,8271431485,6992416097,7536402853,7764999999,8300813599,8133963551,8937805347,10713525200,12060602009
Turkmenistan,TKM,39197543860,43524210526,35799714286,36169428571,37926285714,40765428571,45232857143,45818000000,50007428571,58972000000,60628857143
Latin America & the Caribbean (IDA & IBRD countries),TLA,6.15662E+12,6.27301E+12,5.19717E+12,5.05617E+12,5.63473E+12,5.50662E+12,5.41333E+12,4.56192E+12,5.31345E+12,6.04907E+12,6.77968E+12
Timor-Leste,TLS,1395727400,1447535200,1590282400,1640464600,1584878400,1555988600,2032550400,2162619200,3624889700,3208594000,2079916900
Middle East & North Africa (IDA & IBRD countries),TMN,1.6381E+12,1.6139E+12,1.44759E+12,1.4824E+12,1.4831E+12,1.47439E+12,1.46304E+12,1.31334E+12,1.53464E+12,1.72276E+12,1.65377E+12
Tonga,TON,451788486.9,440997738,437525514.2,420828262.3,459976850.3,489714518,494197841.1,496856295.8,518228012.1,518180042.2,
South Asia (IDA & IBRD),TSA,2.38993E+12,2.61495E+12,2.73365E+12,3.01107E+12,3.43392E+12,3.53407E+12,3.65821E+12,3.49312E+12,4.07987E+12,4.32739E+12,4.49499E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.79933E+12,1.87612E+12,1.67004E+12,1.5233E+12,1.66085E+12,1.7828E+12,1.8362E+12,1.72319E+12,1.93506E+12,2.0754E+12,2.04458E+12
Trinidad and Tobago,TTO,28709859469,29697674914,27026750553,23722678430,24040211327,24569257295,23775659263,20807716174,24496397205,30053446092,27372285698
Tunisia,TUN,48685446414,50271812921,45779494042,44360072680,42163530591,42686504460,41905642419,42491780918,46812290143,44579761023,48529595417
Turkiye,TUR,9.57799E+11,9.38935E+11,8.64314E+11,8.69683E+11,8.58988E+11,7.78972E+11,7.61006E+11,7.20338E+11,8.19865E+11,9.07118E+11,1.11825E+12
Tuvalu,TUV,38615890.63,38760982.65,36811936.08,41629064.22,45276595.35,48015259.88,54123198.57,51746594.31,60196405.71,59065982.09,62280311.59
Tanzania,TZA,45648857242,49986726461,47413919817,49774409374,53274884533,57003712892,61026731926,66068737786,70655628148,75769974505,79062403821
Uganda,UGA,28915786517,32612397257,32387183730,29203988696,30744473841,32927025620,35348155095,37600368242,40529788749,45565333211,48768955863
Ukraine,UKR,1.90499E+11,1.33504E+11,91030967789,93355869404,1.12091E+11,1.30891E+11,1.53883E+11,1.56618E+11,1.99766E+11,1.6199E+11,1.78757E+11
Upper middle income,UMC,1.98435E+13,2.05943E+13,1.98306E+13,1.99077E+13,2.18416E+13,2.33759E+13,2.37488E+13,2.29761E+13,2.73906E+13,2.85471E+13,2.944E+13
Uruguay,URY,61337621934,61496186974,57680327999,57480788390,65006039995,65344576348,62222325807,53668636568,60760798596,70164683290,77240830877
United States,USA,1.68807E+13,1.76081E+13,1.8295E+13,1.88049E+13,1.96121E+13,2.06565E+13,2.154E+13,2.13541E+13,2.36812E+13,2.60069E+13,2.77207E+13
Uzbekistan,UZB,73180037915,80845385809,86196264755,86138288644,69703222283,58695899092,67293639798,66443265418,77340060003,90095926567,1.01592E+11
St. Vincent and the Grenadines,VCT,764781259.3,770900000,786555555.6,814303703.7,844040740.7,884329629.6,910766666.7,869111111.1,872225925.9,966492592.6,1065962963
"Venezuela, RB",VEN,3.71005E+11,4.82359E+11,,,,,,,,,
British Virgin Islands,VGB,,,,,,,,,,,
Virgin Islands (U.S.),VIR,3738000000,3565000000,3663000000,3798000000,3794000000,3923000000,4121000000,4229000000,4507000000,4672000000,
Viet Nam,VNM,2.13709E+11,2.33451E+11,2.39258E+11,2.57096E+11,2.81354E+11,3.10106E+11,3.34365E+11,3.46616E+11,3.66475E+11,4.10324E+11,4.29717E+11
Vanuatu,VUT,758304466.2,772315983.8,730870803,780889605.9,880061833.7,914736985.4,936526267.6,909421043.5,950394006.5,1022219298,1126313359
World,WLD,7.78734E+13,8.00203E+13,7.54725E+13,7.67026E+13,8.1712E+13,8.68848E+13,8.81499E+13,8.5763E+13,9.78483E+13,1.01771E+14,1.06172E+14
Samoa,WSM,797736334.3,796683519.6,824150498.7,843924796.7,884844384.5,878448433.4,912950466.1,868898358.3,843923638.7,832945205.6,938189443.8
Kosovo,XKX,6735328610,7074394735,6295848423,6682677290,7180764703,7878759715,7899737577,7717145218,9413403724,9354903062,10468219225
"Yemen, Rep.",YEM,40415233436,43228585321,42444489522,31317824943,26842228829,21606160784,,,,,
South Africa,ZAF,4.00886E+11,3.81199E+11,3.4671E+11,3.23586E+11,3.81449E+11,4.05261E+11,3.8933E+11,3.37975E+11,4.20887E+11,4.0692E+11,3.80699E+11
Zambia,ZMB,28037239463,27141023558,21251216799,20958412538,25873601261,26311507274,23308667781,18137764931,22096416932,29163782140,27577956471
Zimbabwe,ZWE,19091020000,19495519600,19963120600,20548678100,51074660513,34156069918,25717409842,26867936445,27240515109,32789751736,35231367886
